id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
366,NY Climate Collective,24/08/2018,photo,NO_CTA,photo,92.56,58883,32,7,13,0,0,No,0,No person,Entertaining,1,8,4,4,no CTA at all,Positive,Finance,0,Professional,1,0,0,Yellow
367,NY Climate Collective,10/08/2018,link,NO_CTA,share,273.93,58848,638,97,178,0,0,Yes,1,Man,Informing,1,1,9,8,CTA in text,Positive,Finance,0,Professional,0,0,0,Grey
368,Great Rants,18/08/2018,photo,NO_CTA,photo,500,58806,2006,608,224,0,0,Yes,1,Woman,Engaging,8,1,6,3,CTA in text,Positive,Social issues,0,Professional,0,0,0,Red
369,Heschsoft,02/09/2019,photo,NO_CTA,photo,90.97,58797,11,7,0,0,0,No,0,No person,Engaging,8,2,6,5,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
370,Cargill Entertainment,18/05/2018,photo,NO_CTA,photo,155.13,58671,420,56,8,0,0,No,0,No person,Engaging,8,2,1,4,CTA in both,Positive,Culture,0,Professional,0,0,0,Blue
374,Narisoft,13/07/2018,photo,NO_CTA,photo,113.06,58296,306,69,21,0,0,No,0,No person,Engaging,8,4,2,3,CTA in text,Positive,Health and lifestyle,0,Professional,0,0,0,Yellow
375,Grece Foundation,28/08/2018,video,NO_CTA,video,233.24,58283,140,19,84,1271,499,No,0,No person,Informing,2,1,3,8,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Blue
377,Great Rants,25/10/2018,video,NO_CTA,video,400,58155,333,67,53,5428,1596,Yes,5,Both,Persuading,3,4,8,5,no CTA at all,Positive,Infrastructure,1,Professional,0,0,1,Red
378,Pierce Associates,07/09/2019,photo,NO_CTA,photo,145.85,57948,56,17,9,0,0,No,0,No person,Persuading,2,1,7,4,no CTA at all,Neutral,Infrastructure,0,Professional,1,0,0,Blue
379,NY Climate Collective,06/09/2018,photo,NO_CTA,photo,325.71,57841,1467,200,104,0,0,No,0,No person,Informing,4,1,2,8,CTA in both,Positive,Social issues,0,Professional,0,0,1,Magenta
380,NY Climate Collective,05/04/2019,link,NO_CTA,share,169.1,57816,301,49,56,0,0,Yes,1,Man,Informing,2,1,7,8,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Grey
381,Great Rants,03/05/2019,link,learn_more,share,491.44,57594,61,30,6,0,0,Yes,1,Woman,Engaging,8,2,3,6,CTA in both,Positive,No topic,1,Professional,0,0,1,Blue
