id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
486,NY Climate Collective,08/04/2019,video,NO_CTA,video,239.36,49161,6,2,1,22415,22415,Yes,2,Both,Persuading,4,6,8,5,CTA in text,Neutral,Social issues,0,Professional,1,0,1,Blue
487,Ted Hansen Campaign,16/04/2019,photo,NO_CTA,photo,125.44,49102,208,33,22,0,0,Yes,1,Man,Informing,1,1,7,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Grey
489,Cargill Entertainment,09/05/2018,photo,NO_CTA,photo,121.81,48994,394,11,46,0,0,Yes,1,Man,Persuading,2,1,7,3,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Blue
490,Great Rants,07/05/2019,link,learn_more,share,474.26,48854,32,16,3,0,0,Yes,5,Both,Engaging,9,1,4,5,CTA in both,Positive,No topic,1,Professional,0,0,0,Blue
491,Cargill Entertainment,09/05/2019,video,NO_CTA,video,1000,48801,32,8,6,3041,849,Yes,5,Both,Engaging,8,1,4,3,CTA in text,Positive,International Politics,1,Professional,0,0,0,Black
492,Pierce Associates,08/05/2019,video,NO_CTA,video,211.49,48746,74,30,4,5451,1400,Yes,5,Both,Persuading,3,1,8,4,no CTA at all,Positive,No topic,1,Professional,1,0,0,Blue
494,NY Climate Collective,02/05/2019,link,learn_more,share,380.82,48628,0,0,3,0,0,No,0,No person,Informing,1,1,3,8,CTA in creative,Neutral,Other,1,Professional,0,0,0,Blue
495,NY Climate Collective,26/01/2018,video,learn_more,video,932.4,48470,91,11,10,2465,1231,Yes,5,Both,Engaging,8,2,5,2,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
496,NY Climate Collective,27/02/2019,album,NO_CTA,status,169.76,48326,99,23,10,0,0,No,0,No person,Informing,1,1,7,8,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Magenta
497,Grece Foundation,07/03/2019,video,NO_CTA,video,134.42,48233,5,1,0,3458,956,Yes,1,Woman,Persuading,2,3,8,5,no CTA at all,Positive,Education,0,Professional,0,0,0,White
498,Heschsoft,03/10/2018,video,NO_CTA,video,100,48124,30,2,2,2251,929,Yes,5,Both,Persuading,2,1,8,3,no CTA at all,Positive,Security,0,Professional,0,0,0,Black
499,Cargill Entertainment,09/05/2019,photo,NO_CTA,photo,227.09,48097,9,4,1,0,0,No,0,No person,Engaging,8,1,2,2,CTA in text,Neutral,International Politics,0,Professional,1,0,0,Blue
501,Great Rants,25/01/2019,photo,NO_CTA,photo,400,47774,609,294,98,0,0,Yes,1,Woman,Persuading,2,1,8,3,no CTA at all,Positive,Finance,1,Professional,0,0,0,Red
502,Sound Green Toronto,25/01/2019,video,NO_CTA,video,96.21,47483,0,0,2,1292,1288,Yes,2,Man,Entertaining,2,9,3,2,no CTA at all,Positive,No topic,1,Professional,0,0,0,Blue
503,Grece Foundation,15/08/2019,photo,NO_CTA,photo,71.1,47442,147,24,16,0,0,No,0,No person,Entertaining,2,8,2,4,CTA in text,Neutral,No topic,0,Professional,0,0,0,Black
506,Great Rants,07/05/2019,link,learn_more,share,482.79,47237,43,47,4,0,0,Yes,1,Woman,Engaging,8,2,4,5,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
507,NY Climate Collective,30/05/2018,link,NO_CTA,share,364.34,47183,1011,17,38,0,0,Yes,1,Man,Informing,1,1,7,8,CTA in text,Neutral,Economy,0,Professional,0,0,1,Grey
508,Great Rants,14/05/2019,photo,NO_CTA,photo,106.21,47165,3,0,3,0,0,No,0,No person,Persuading,4,1,7,3,no CTA at all,Positive,Environment,1,Professional,1,0,0,Green
509,Grece Foundation,09/05/2019,video,NO_CTA,video,315.15,47047,109,66,43,7776,4063,Yes,5,Both,Entertaining,5,8,4,1,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Black
510,Grece Foundation,14/09/2018,photo,NO_CTA,photo,113.3,47044,7,2,1,0,0,Yes,1,Man,Persuading,2,1,6,5,CTA in text,Positive,Education,0,Professional,0,0,0,Grey
511,NY Climate Collective,22/06/2018,video,NO_CTA,video,144.92,47041,20,12,2,2083,520,Yes,1,Woman,Persuading,2,1,7,3,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,1,Magenta
512,Great Rants,11/10/2018,video,NO_CTA,video,304.15,47023,357,106,74,6811,1701,Yes,3,Both,Persuading,5,2,7,3,no CTA at all,Positive,Infrastructure,1,Professional,0,0,1,Red
513,Great Rants,16/08/2018,share,NO_CTA,link,500,46978,1201,165,112,0,0,No,0,No person,Persuading,2,1,8,7,no CTA at all,Positive,Other,1,Professional,0,0,0,Magenta
514,Grece Foundation,15/01/2018,video,NO_CTA,video,298.05,46920,117,36,30,6602,2012,Yes,1,Man,Persuading,2,1,8,5,CTA in text,Positive,Finance,0,Professional,0,0,1,Blue
515,Great Rants,08/04/2019,video,learn_more,video,400.27,46904,22,14,1,1262,827,No,0,No person,Persuading,5,1,7,3,CTA in creative,Positive,Finance,1,Professional,0,0,0,Blue
516,Grece Foundation,07/02/2019,video,NO_CTA,video,114.01,46740,38,1,12,1954,329,No,0,No person,Informing,3,8,6,8,CTA in both,Positive,Economy,0,Professional,0,0,0,Blue
517,NY Climate Collective,04/02/2019,video,NO_CTA,video,81.14,46737,10,17,13,5986,3937,Yes,1,Man,Persuading,3,4,8,5,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
518,Great Rants,12/09/2018,photo,NO_CTA,photo,232.63,46713,30,14,3,0,0,Yes,3,Both,Persuading,6,1,7,4,no CTA at all,Positive,No topic,1,Professional,0,0,0,Red
519,Ted Hansen Campaign,16/11/2018,photo,NO_CTA,photo,139.29,46458,11,3,1,0,0,Yes,1,Man,Persuading,2,4,7,3,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
520,Liberty House,22/01/2019,photo,NO_CTA,photo,182.28,46268,664,79,19,0,0,No,0,No person,Entertaining,6,8,2,1,CTA in creative,Neutral,Other,0,Professional,0,0,0,Orange
521,NY Climate Collective,25/10/2018,video,NO_CTA,video,97.5,46228,16,11,10,1673,1608,Yes,1,Man,Entertaining,2,9,2,2,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
522,Grece Foundation,06/06/2019,photo,NO_CTA,photo,82.03,46145,43,15,6,0,0,No,0,No person,Informing,1,1,7,8,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,White
523,Great Rants,27/09/2018,share,learn_more,link,166.92,46124,122,6,20,0,0,Yes,2,Woman,Engaging,8,2,4,4,CTA in both,Positive,No topic,1,Professional,0,0,0,Red
524,Great Rants,10/11/2018,video,NO_CTA,video,200,45841,94,52,16,9942,6217,Yes,5,Both,Persuading,2,8,7,4,no CTA at all,Positive,Social issues,1,Professional,0,0,0,Red
525,NY Climate Collective,07/05/2018,photo,NO_CTA,photo,149.15,45818,389,75,148,0,0,No,0,No person,Informing,2,2,7,8,no CTA at all,Neutral,Finance,0,Professional,1,0,0,Magenta
526,Cargill Entertainment,18/09/2018,video,NO_CTA,video,124.4,45807,29,16,4,2745,681,Yes,1,Man,Persuading,2,1,8,3,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
527,Great Rants,28/01/2019,photo,NO_CTA,photo,400,45793,426,289,35,0,0,Yes,4,Both,Persuading,1,1,7,6,CTA in text,Positive,Social issues,1,Professional,0,0,0,Red
528,Heschsoft,12/06/2019,photo,NO_CTA,photo,62.12,45768,1,0,0,0,0,No,0,No person,Persuading,1,1,7,5,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
529,Spartan Consulting,27/08/2018,photo,NO_CTA,photo,97.29,45676,16,20,4,0,0,Yes,1,Man,Informing,5,1,6,7,CTA in text,Positive,Finance,0,Professional,0,0,0,Blue
530,Liberty House,22/03/2019,photo,NO_CTA,photo,119.55,45600,217,46,21,0,0,Yes,1,Man,Informing,4,7,3,8,no CTA at all,Positive,Culture,1,Professional,0,0,0,Yellow
531,Heschsoft,05/09/2019,photo,NO_CTA,photo,111.4,45581,8,3,0,0,0,No,0,No person,Persuading,4,1,7,5,CTA in text,Positive,Education,0,Professional,0,0,0,Magenta
532,Spartan Consulting,02/08/2019,photo,NO_CTA,photo,51.97,45574,11,20,2,0,0,No,0,No person,Informing,5,1,4,7,no CTA at all,Neutral,Other,1,Professional,0,0,0,Blue
533,Great Rants,09/05/2019,video,learn_more,video,410.36,45449,36,41,8,2020,632,Yes,5,Both,Engaging,7,1,5,2,no CTA at all,Positive,Other,1,Professional,0,0,0,Red
534,Cargill Entertainment,18/10/2018,photo,NO_CTA,photo,141.07,45371,408,42,59,0,0,No,0,No person,Informing,1,1,3,6,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
535,NY Climate Collective,21/06/2018,link,NO_CTA,share,239.29,45241,437,75,101,0,0,Yes,1,Man,Informing,2,1,7,8,no CTA at all,Neutral,Social issues,0,Professional,0,0,0,Grey
536,Heschsoft,06/09/2019,photo,NO_CTA,photo,98.09,45223,3,2,0,0,0,Yes,2,Both,Persuading,5,1,7,5,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
537,Grece Foundation,09/11/2018,video,NO_CTA,video,152.7,45155,31,9,5,552,450,No,0,No person,Persuading,2,1,7,5,no CTA at all,Neutral,Economy,1,Professional,0,0,1,Yellow
538,NY Climate Collective,09/08/2019,video,NO_CTA,video,237.42,45120,11,2,2,4581,1030,Yes,1,Man,Persuading,2,7,7,6,CTA in text,Positive,Education,0,Professional,1,0,0,Green
539,Loto Paper Laundry,01/12/2018,video,NO_CTA,video,173.66,45025,525,118,49,7786,4866,Yes,5,Both,Persuading,5,7,8,3,CTA in text,Positive,Other,1,Professional,0,0,0,Grey
540,Great Rants,29/03/2019,photo,NO_CTA,photo,181.86,45019,128,11,4,0,0,Yes,1,Woman,Persuading,3,1,7,4,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
541,NY Climate Collective,12/04/2019,photo,NO_CTA,photo,62.79,44776,22,0,0,0,0,Yes,1,Woman,Persuading,2,1,8,4,no CTA at all,Neutral,Social issues,0,Professional,1,0,0,Magenta
542,NY Climate Collective,24/01/2019,photo,NO_CTA,photo,151.81,44661,1874,475,205,0,0,Yes,1,Woman,Persuading,5,1,7,4,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
543,Great Rants,24/05/2019,video,NO_CTA,video,502.28,44571,227,152,36,4052,1685,No,0,No person,Persuading,6,1,8,2,no CTA at all,Positive,International Politics,1,Professional,0,0,1,Blue
544,Grece Foundation,09/07/2018,photo,NO_CTA,photo,132.72,44541,8,0,1,0,0,No,0,No person,Persuading,2,1,7,5,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
545,Cargill Entertainment,15/02/2019,video,NO_CTA,video,250.51,44526,60,20,9,3218,1536,Yes,5,Man,Engaging,8,1,7,4,CTA in text,Neutral,Security,0,Professional,1,0,0,Black
546,NY Climate Collective,27/01/2018,link,learn_more,share,791.63,44447,125,36,21,0,0,Yes,5,Both,Engaging,8,1,5,2,CTA in both,Positive,No topic,0,Professional,0,0,1,Magenta
547,NY Climate Collective,12/02/2019,link,NO_CTA,share,106.32,44350,1039,337,139,0,0,Yes,1,Woman,Persuading,1,1,7,6,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Blue
548,Great Rants,04/09/2018,video,NO_CTA,video,300,44338,197,145,74,12998,8384,Yes,1,Woman,Persuading,5,4,8,3,CTA in text,Positive,Social issues,0,Professional,0,0,0,Red
549,Great Rants,23/03/2019,photo,NO_CTA,photo,100.1,44307,121,3,12,0,0,No,0,No person,Persuading,3,1,8,3,no CTA at all,Positive,"Innovation, science and digitalization",1,Professional,1,0,0,Blue
550,NY Climate Collective,06/11/2018,link,NO_CTA,share,199.34,44296,178,71,26,0,0,No,0,No person,Informing,4,1,5,8,no CTA at all,Positive,Finance,0,Professional,1,0,0,Blue
551,Great Rants,19/01/2018,video,NO_CTA,video,200,44257,166,29,11,3902,999,Yes,4,Both,Engaging,8,1,5,3,CTA in creative,Positive,Social issues,0,Review needed,0,0,0,White
552,Ted Hansen Campaign,27/12/2018,video,NO_CTA,video,245.37,44200,23,0,1,6276,2497,Yes,5,Both,Persuading,3,1,8,3,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
555,Heschsoft,03/10/2018,video,NO_CTA,video,150,43910,196,5,4,1394,543,Yes,1,Man,Persuading,2,1,8,4,no CTA at all,Positive,Other,0,Professional,0,0,0,White
556,Grece Foundation,07/03/2019,photo,NO_CTA,photo,80.7,43844,113,21,13,0,0,Yes,1,Man,Persuading,2,1,6,5,no CTA at all,Positive,Economy,0,Professional,0,0,0,Grey
557,Great Rants,14/05/2019,photo,NO_CTA,photo,111.96,43772,3,0,0,0,0,No,0,No person,Engaging,7,1,5,2,no CTA at all,Positive,Infrastructure,1,Professional,1,0,0,Yellow
559,Grece Foundation,26/04/2018,video,NO_CTA,video,162.19,43684,5,0,1,14171,14171,Yes,1,Woman,Entertaining,5,8,4,5,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,White
561,Heschsoft,28/08/2019,photo,NO_CTA,photo,165.74,43490,26,8,1,0,0,No,0,No person,Persuading,2,1,8,5,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Green
562,Grece Foundation,24/05/2019,album,NO_CTA,status,115.98,43441,52,19,5,0,0,Yes,1,Man,Informing,2,1,6,8,no CTA at all,Positive,Economy,1,Professional,0,0,1,Blue
563,Great Rants,20/05/2019,video,NO_CTA,video,143.96,43405,0,0,3,684,367,Yes,1,Woman,Persuading,2,8,8,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,White
564,Great Rants,21/10/2018,photo,NO_CTA,photo,100,43404,53,7,1,0,0,Yes,1,Woman,Persuading,6,1,8,4,CTA in text,Positive,International Politics,1,Professional,0,0,0,White
565,Grece Foundation,06/12/2018,photo,NO_CTA,photo,112.76,43334,130,12,32,0,0,No,0,No person,Entertaining,3,7,4,1,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,White
567,Cargill Entertainment,11/09/2018,photo,NO_CTA,photo,102.53,43211,359,10,67,0,0,No,0,No person,Informing,3,1,3,5,no CTA at all,Positive,Other,0,Professional,0,0,0,Black
568,Great Rants,03/12/2018,video,NO_CTA,video,200,43015,215,21,33,10147,7026,Yes,1,Woman,Persuading,2,8,8,4,no CTA at all,Positive,Education,1,Professional,0,0,0,Red
569,Great Rants,21/05/2019,photo,NO_CTA,photo,181.82,42936,26,10,2,0,0,Yes,2,Man,Persuading,3,4,7,2,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
570,NY Climate Collective,15/08/2018,video,NO_CTA,video,158.85,42869,27,4,13,2115,1524,No,0,No person,Informing,2,2,2,7,CTA in text,Positive,Education,0,Professional,1,0,0,Green
572,NY Climate Collective,02/03/2018,video,NO_CTA,video,317.59,42662,39,28,8,5907,1390,Yes,1,Man,Persuading,2,1,8,7,CTA in text,Positive,Education,0,Professional,0,0,1,Magenta
573,Great Rants,14/02/2019,link,learn_more,share,349.95,42653,36,26,4,0,0,Yes,1,Woman,Persuading,5,1,8,2,CTA in creative,Positive,Social issues,1,Professional,0,0,0,White
574,Grece Foundation,13/08/2018,photo,NO_CTA,photo,108.89,42631,3,1,0,0,0,Yes,1,Man,Persuading,2,8,7,6,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
575,Grece Foundation,12/06/2018,photo,NO_CTA,photo,153.96,42619,117,19,21,0,0,No,0,No person,Informing,2,1,6,9,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
577,Loto Paper Laundry,27/11/2018,video,NO_CTA,video,246.74,42485,203,99,32,6085,1629,Yes,2,Man,Persuading,3,1,8,3,CTA in text,Positive,International Politics,1,Professional,1,0,0,Yellow
578,Loto Paper Laundry,17/12/2018,video,NO_CTA,video,169.64,42471,220,21,78,3061,1313,Yes,5,Both,Persuading,5,2,8,3,no CTA at all,Positive,Health and lifestyle,1,Professional,0,0,0,Black
579,Ted Hansen Campaign,18/03/2019,photo,NO_CTA,photo,87.86,42384,640,39,99,0,0,Yes,1,Man,Persuading,3,1,8,4,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
580,Ted Hansen Campaign,18/02/2019,photo,NO_CTA,photo,88.18,42322,174,14,22,0,0,No,0,No person,Engaging,8,2,6,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
581,Heschsoft,30/08/2018,video,NO_CTA,video,150,42143,89,5,1,1216,407,Yes,2,Man,Engaging,8,1,7,3,CTA in creative,Positive,Security,0,Professional,0,0,1,Black
582,Great Rants,12/04/2019,link,learn_more,share,249.65,42128,211,63,40,0,0,No,0,No person,Informing,6,1,3,8,CTA in creative,Positive,Social issues,1,Professional,0,0,0,Blue
583,Grece Foundation,13/03/2018,video,NO_CTA,video,271.07,42124,114,32,33,4222,1121,Yes,5,Both,Persuading,5,1,5,3,no CTA at all,Positive,Economy,0,Professional,0,0,0,Yellow
584,NY Climate Collective,15/06/2018,photo,message_page,photo,114.03,42055,73,3,1,0,0,Yes,2,Man,Entertaining,2,7,4,5,CTA in text,Positive,Economy,0,Professional,0,0,0,Black
585,Grece Foundation,18/01/2018,video,NO_CTA,video,205.85,41972,147,34,33,5394,3342,Yes,2,Both,Informing,2,5,7,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Yellow
586,NY Climate Collective,14/05/2019,link,NO_CTA,share,95.32,41858,70,20,7,0,0,Yes,1,Man,Informing,2,1,6,9,CTA in text,Neutral,Finance,0,Professional,0,0,1,Grey
587,Narisoft,29/05/2019,photo,NO_CTA,photo,111.86,41547,1021,288,46,0,0,No,0,No person,Engaging,9,3,1,6,CTA in both,Neutral,Finance,0,Professional,0,0,0,Grey
588,Great Rants,29/03/2019,link,learn_more,share,325.73,41537,96,103,8,0,0,Yes,3,Woman,Engaging,8,2,5,3,CTA in creative,Positive,No topic,1,Professional,0,0,0,Red
589,Spartan Consulting,24/01/2019,photo,NO_CTA,photo,123.09,41460,72,2,4,0,0,Yes,1,Man,Informing,4,1,4,9,CTA in text,Positive,Finance,0,Professional,0,0,0,Blue
590,Grece Foundation,06/11/2018,photo,NO_CTA,photo,180.97,41403,367,6,20,0,0,No,0,No person,Informing,1,5,2,6,no CTA at all,Positive,No topic,0,Professional,0,0,0,Black
591,Grece Foundation,26/09/2018,photo,NO_CTA,photo,133.53,41392,82,0,3,0,0,No,0,No person,Informing,2,1,6,9,no CTA at all,Positive,Education,0,Professional,0,0,0,Green
592,Loto Paper Laundry,24/08/2019,video,NO_CTA,video,150.08,41358,130,53,5,7556,1802,Yes,5,Both,Persuading,3,2,9,4,no CTA at all,Positive,No topic,1,Professional,1,0,1,Blue
595,NY Climate Collective,31/01/2019,photo,NO_CTA,photo,142.8,41044,866,350,88,0,0,Yes,1,Man,Informing,4,1,7,8,CTA in text,Neutral,Social issues,0,Professional,1,0,0,Magenta
596,NY Climate Collective,12/04/2018,photo,message_page,photo,188.55,41037,383,31,27,0,0,Yes,1,Man,Informing,3,1,7,8,CTA in text,Neutral,Economy,0,Professional,0,0,1,White
597,NY Climate Collective,10/04/2019,link,NO_CTA,share,443.11,41004,121,100,34,0,0,Yes,1,Man,Informing,3,1,7,8,CTA in text,Neutral,Social issues,0,Professional,1,0,0,Grey
598,Cargill Entertainment,03/05/2019,video,NO_CTA,video,76.77,40990,55,60,5,3336,694,Yes,1,Man,Persuading,2,1,8,5,no CTA at all,Positive,Economy,1,Professional,0,0,0,Black
599,Great Rants,23/05/2019,video,NO_CTA,video,532.47,40884,105,108,5,4641,2563,No,0,No person,Engaging,8,4,5,1,no CTA at all,Positive,Finance,1,Professional,0,0,1,White
600,Loto Paper Laundry,24/05/2019,video,NO_CTA,video,226.32,40829,48,30,6,8445,4764,No,0,No person,Engaging,9,2,3,3,CTA in both,Positive,Other,1,Professional,0,0,1,Green
602,Ted Hansen Campaign,01/03/2019,photo,NO_CTA,photo,124.78,40712,537,73,21,0,0,No,0,No person,Engaging,8,4,1,2,CTA in creative,Neutral,International Politics,1,Professional,0,0,0,Blue
603,Capitol Hill United,01/09/2019,video,learn_more,video,112.09,40647,93,2,5,4982,1823,Yes,1,Woman,Engaging,10,4,3,6,CTA in both,Positive,"Innovation, science and digitalization",0,Professional,1,0,0,Pink
604,Great Rants,27/08/2018,photo,NO_CTA,photo,500,40525,1832,165,239,0,0,Yes,1,Woman,Engaging,8,1,3,1,CTA in text,Positive,Security,0,Professional,0,0,0,Red
605,NY Climate Collective,14/03/2019,link,learn_more,share,354.41,40478,277,118,153,0,0,No,0,No person,Persuading,4,3,7,1,CTA in creative,Negative,Finance,0,Professional,0,0,1,Magenta
606,Grece Foundation,03/09/2018,photo,NO_CTA,photo,142.91,40391,145,5,24,0,0,No,0,No person,Informing,4,1,6,9,CTA in text,Positive,Education,0,Professional,0,0,0,Grey
608,Grece Foundation,11/06/2018,video,NO_CTA,video,286.58,40366,36,4,6,5101,1304,Yes,5,Both,Persuading,3,1,7,6,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,1,White
609,Loto Paper Laundry,03/05/2019,video,NO_CTA,video,156.48,40256,111,56,35,8395,3081,Yes,2,Man,Persuading,2,1,5,4,CTA in text,Positive,Health and lifestyle,1,Professional,0,0,1,Blue
610,NY Climate Collective,24/01/2018,link,learn_more,share,703.72,40217,52,30,4,0,0,Yes,3,Both,Engaging,7,3,4,1,CTA in both,Positive,Finance,0,Professional,0,0,1,Magenta
611,Grece Foundation,25/01/2019,video,NO_CTA,video,76.18,40186,4,2,1,1102,200,Yes,5,Both,Persuading,2,1,7,6,no CTA at all,Positive,Economy,0,Professional,0,0,1,Grey
612,Loto Paper Laundry,26/06/2019,video,NO_CTA,video,195.97,40123,132,70,18,9787,3329,Yes,5,Both,Persuading,2,1,9,5,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Blue
613,Heschsoft,02/07/2019,photo,NO_CTA,photo,98.94,40121,20,8,0,0,0,No,0,No person,Persuading,1,1,6,3,no CTA at all,Positive,Infrastructure,0,Professional,1,0,0,Green
614,Great Rants,12/04/2019,link,learn_more,share,246.25,40088,75,19,24,0,0,No,0,No person,Informing,2,1,5,7,no CTA at all,Positive,Social issues,1,Professional,0,0,1,Blue
615,Grece Foundation,16/04/2018,video,NO_CTA,video,113.86,40036,88,6,18,8897,8897,Yes,1,Woman,Persuading,2,7,7,3,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
616,NY Climate Collective,18/07/2019,video,NO_CTA,video,157.02,39987,44,58,17,6190,2963,Yes,1,Man,Persuading,2,1,8,7,CTA in text,Neutral,Environment,0,Professional,0,0,0,Magenta
617,Spartan Consulting,20/08/2018,photo,NO_CTA,photo,137.43,39947,36,1,0,0,0,No,0,No person,Entertaining,9,9,1,2,CTA in both,Neutral,No topic,0,Professional,0,0,0,Blue
618,NY Climate Collective,02/05/2019,photo,NO_CTA,photo,117.23,39937,1589,219,620,0,0,Yes,2,Man,Persuading,3,1,7,3,no CTA at all,Neutral,Economy,1,Professional,0,0,0,Magenta
620,Great Rants,23/08/2018,share,NO_CTA,link,350,39855,439,33,84,0,0,Yes,1,Woman,Persuading,4,1,8,6,CTA in text,Positive,Other,1,Professional,0,0,1,Black
622,Great Rants,28/04/2019,photo,NO_CTA,photo,206.27,39730,175,17,9,0,0,Yes,1,Woman,Persuading,2,1,7,3,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Blue
623,Spartan Consulting,26/06/2019,photo,NO_CTA,photo,78.28,39721,97,61,8,0,0,Yes,1,Woman,Informing,5,1,2,8,CTA in text,Neutral,International Politics,0,Professional,0,1,0,Blue
624,Ted Hansen Campaign,07/05/2019,video,NO_CTA,video,197.62,39572,28,8,6,7010,4110,Yes,5,Both,Informing,4,2,6,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
625,NY Climate Collective,21/03/2018,link,NO_CTA,share,250.42,39516,25,16,13,0,0,Yes,1,Man,Informing,2,1,7,8,CTA in text,Neutral,Finance,0,Professional,0,0,1,Grey
627,NY Climate Collective,23/05/2019,photo,NO_CTA,photo,88.58,39475,261,72,39,0,0,No,0,No person,Persuading,4,1,8,6,CTA in text,Negative,Finance,0,Professional,1,0,0,Magenta
628,Grece Foundation,01/05/2019,video,NO_CTA,video,282.6,39473,74,48,41,6707,1778,Yes,5,Both,Engaging,8,2,6,3,CTA in text,Positive,International Politics,1,Professional,0,0,0,Black
629,Cargill Entertainment,17/07/2019,photo,NO_CTA,photo,56.68,39388,117,45,16,0,0,No,0,No person,Informing,2,5,4,8,no CTA at all,Positive,Economy,0,Professional,0,0,0,Blue
630,Heschsoft,28/06/2019,video,NO_CTA,video,82.35,39336,1,1,0,457,69,Yes,2,Both,Engaging,8,2,6,4,CTA in creative,Positive,"Innovation, science and digitalization",0,Professional,1,0,1,White
631,Liberty House,30/04/2019,photo,NO_CTA,photo,89.4,39334,416,134,19,0,0,Yes,5,Man,Persuading,1,1,7,5,no CTA at all,Positive,Security,1,Professional,0,0,0,Green
633,Heschsoft,01/07/2019,photo,NO_CTA,photo,99.85,39258,14,2,1,0,0,Yes,2,Both,Persuading,3,1,8,5,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Magenta
634,Heschsoft,17/12/2018,video,NO_CTA,video,100,39132,27,29,3,1068,472,Yes,1,Man,Persuading,1,1,8,7,no CTA at all,Positive,Social issues,0,Professional,0,0,1,Grey
635,NY Climate Collective,05/09/2018,link,NO_CTA,share,168.84,38999,175,48,50,0,0,Yes,2,Man,Informing,1,8,7,8,no CTA at all,Neutral,Economy,0,Professional,0,0,1,Grey
636,Grece Foundation,02/07/2018,link,NO_CTA,share,81.64,38998,90,13,24,0,0,Yes,1,Man,Persuading,4,1,7,5,CTA in text,Negative,Economy,0,Professional,0,0,0,White
637,Grece Foundation,19/12/2018,photo,message_page,photo,62.54,38947,13,4,0,0,0,Yes,1,Man,Persuading,2,1,6,6,CTA in text,Positive,Social issues,0,Professional,0,0,0,Blue
638,Ted Hansen Campaign,08/04/2019,photo,NO_CTA,photo,81.82,38788,200,23,12,0,0,No,0,No person,Informing,1,1,5,7,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
640,Grece Foundation,15/10/2018,link,NO_CTA,share,106.27,38731,5,0,0,0,0,Yes,1,Man,Persuading,2,1,8,6,CTA in text,Negative,Finance,0,Professional,0,0,0,Black
641,Spartan Consulting,19/06/2019,photo,NO_CTA,photo,118.86,38718,93,28,6,0,0,No,0,No person,Engaging,8,1,2,7,CTA in both,Neutral,Finance,0,Professional,0,1,0,Blue
642,Grece Foundation,01/04/2019,link,NO_CTA,share,65.31,38420,84,15,14,0,0,Yes,1,Man,Persuading,2,1,7,7,CTA in text,Negative,Economy,0,Professional,0,0,0,White
643,Cargill Entertainment,07/12/2018,photo,NO_CTA,photo,150.58,38283,57,43,3,0,0,Yes,3,Both,Engaging,1,1,3,4,CTA in both,Neutral,Economy,1,Professional,1,0,0,Blue
645,Great Rants,12/04/2019,link,learn_more,share,242.8,38093,118,21,30,0,0,No,0,No person,Informing,2,1,4,8,no CTA at all,Positive,Social issues,1,Professional,0,0,1,Blue
